yyyymmdd,pool_code,race_no,wind
20220919,20,12,不明
20220919,22,1,不明
20220919,22,2,不明
20220919,22,3,不明
20220919,22,4,不明
20220919,22,5,不明
20220919,22,6,不明
20220919,22,7,不明
20220919,22,8,不明
20220919,22,9,不明
20220919,22,10,不明
20220919,22,11,不明
20220919,22,12,不明
20220919,23,1,不明
20220919,23,2,不明
20220919,23,3,不明
20220919,23,4,不明
20220919,23,5,不明
20220919,23,6,不明
20220919,23,7,不明
20220919,23,8,不明
20220919,23,9,不明
20220919,23,10,不明
20220919,23,11,不明
20220919,23,12,不明
20220920,9,1,不明
20220920,9,2,不明
20220920,9,3,不明
20220920,9,4,不明
20220920,9,5,不明
20220920,9,6,不明
20220920,9,7,不明
20220920,9,8,不明
20220920,9,9,不明
20220920,9,10,不明
20220920,9,11,不明
20220920,9,12,不明
20220927,14,1,不明
20220927,14,2,不明
20220927,14,3,不明
20220927,14,4,不明
20220927,14,5,不明
20220927,14,6,不明
20220927,14,7,不明
20220927,14,8,不明
20220927,14,9,不明
20220927,14,10,不明
20220927,14,11,不明
20220927,14,12,不明
20221004,3,10,不明
20221004,3,11,不明
20221004,3,12,不明
20221005,19,1,不明
20221005,19,2,不明
20221005,19,3,不明
20221005,19,4,不明
20221005,19,5,不明
20221005,19,6,不明
20221005,19,7,不明
20221005,19,8,不明
20221005,19,9,不明
20221005,19,10,不明
20221005,19,11,不明
20221005,19,12,不明
20221007,3,8,不明
20221007,3,9,不明
20221007,3,10,不明
20221007,3,11,不明
20221007,3,12,不明
20221107,17,1,不明
20221107,17,2,不明
20221107,17,3,不明
20221107,17,4,不明
20221107,17,5,不明
20221107,17,6,不明
20221107,17,7,不明
20221107,17,8,不明
20221107,17,9,不明
20221107,17,10,不明
20221107,17,11,不明
20221107,17,12,不明
20221108,17,1,不明
20221108,17,2,不明
20221108,17,3,不明
20221108,17,4,不明
20221108,17,5,不明
20221108,17,6,不明
20221108,17,7,不明
20221108,17,8,不明
20221108,17,9,不明
20221108,17,10,不明
20221108,17,11,不明
20221108,17,12,不明
20221109,17,1,不明
20221109,17,2,不明
20221109,17,3,不明
20221109,17,4,不明
20221109,17,5,不明
20221109,17,6,不明
20221109,17,7,不明
20221109,17,8,不明
20221109,17,9,不明
20221109,17,10,不明
20221109,17,11,不明
20221109,17,12,不明
20221110,17,1,不明
20221110,17,2,不明
20221110,17,3,不明
20221110,17,4,不明
20221110,17,5,不明
20221110,17,6,不明
20221110,17,7,不明
20221110,17,8,不明
20221110,17,9,不明
20221110,17,10,不明
